condition,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,real_recall_mean,real_recall_std,fake_recall_mean,fake_recall_std
image_only,0.6530612244897959,,0.6572528883183568,,0.650733752620545,,0.631578947368421,,0.6829268292682927,
modality_dropout,0.8061224489795918,,0.823063756953359,,0.805940594059406,,0.7192982456140351,,0.926829268292683,
normal_fusion,0.8367346938775511,,0.8459563543003852,,0.8356394129979036,,0.7894736842105263,,0.9024390243902439,
text_only,0.8367346938775511,,0.8459563543003852,,0.8356394129979036,,0.7894736842105263,,0.9024390243902439,
