condition,seed,validation_macro_f1,accuracy,balanced_accuracy,macro_f1,real_recall,fake_recall
text_only,42,0.8521341463414633,0.8367346938775511,0.8459563543003852,0.8356394129979036,0.7894736842105263,0.9024390243902439
image_only,42,0.7042682926829269,0.6530612244897959,0.6572528883183568,0.650733752620545,0.631578947368421,0.6829268292682927
normal_fusion,42,0.8410357259914782,0.8367346938775511,0.8459563543003852,0.8356394129979036,0.7894736842105263,0.9024390243902439
modality_dropout,42,0.8429573664328116,0.8061224489795918,0.823063756953359,0.805940594059406,0.7192982456140351,0.926829268292683
