Model,Samples,Accuracy,Precision,Recall,F1-score
BERT,1001,0.46553446553446554,0.6373390557939914,0.4479638009049774,0.5261293179805138
CLIP + MLP,1001,0.3986013986013986,0.6445497630331753,0.20512820512820512,0.3112128146453089
ViLT,1001,0.3646353646353646,0.7014925373134329,0.07088989441930618,0.12876712328767123
BLIP + BERT,1001,0.5034965034965035,0.6751054852320675,0.48265460030165913,0.5628847845206685
