Model,Samples,Accuracy,Precision,Recall,F1-score,Dataset
BERT,957,0.9111807732497388,0.9034907597535934,0.9205020920502092,0.911917098445596,Fakeddit
BERT,1001,0.4655344655344655,0.6373390557939914,0.4479638009049774,0.5261293179805138,VERITE
BLIP + BERT,957,0.5297805642633229,0.5897435897435898,0.1924686192468619,0.2902208201892745,Fakeddit
BLIP + BERT,1001,0.5034965034965035,0.6751054852320675,0.4826546003016591,0.5628847845206685,VERITE
CLIP + MLP,957,0.6436781609195402,0.8586387434554974,0.3430962343096234,0.4902840059790732,Fakeddit
CLIP + MLP,1001,0.3986013986013986,0.6445497630331753,0.2051282051282051,0.3112128146453089,VERITE
ViLT,957,0.6802507836990596,0.8071428571428572,0.4728033472803347,0.5963060686015831,Fakeddit
ViLT,1001,0.3646353646353646,0.7014925373134329,0.0708898944193061,0.1287671232876712,VERITE
