Model,True Real,False Fake,False Real,True Fake,Real Recall,Fake Recall,Macro F1
BERT,432,47,38,440,0.9018789144050104,0.9205020920502092,0.9111745660826505
CLIP + MLP,452,27,314,164,0.9436325678496869,0.34309623430962344,0.608194211824878
ViLT,425,54,252,226,0.8872651356993737,0.47280334728033474,0.665800093124321
BLIP Caption + BERT,415,64,386,92,0.8663883089770354,0.19246861924686193,0.4693291600946372
