Model,Samples,Accuracy,Precision,Recall,F1-score
BERT,957,0.9111807732497388,0.9034907597535934,0.9205020920502092,0.9119170984455959
CLIP + MLP,957,0.6436781609195402,0.8586387434554974,0.34309623430962344,0.49028400597907323
ViLT,957,0.6802507836990596,0.8071428571428572,0.47280334728033474,0.5963060686015831
BLIP + BERT,957,0.5297805642633229,0.5897435897435898,0.19246861924686193,0.2902208201892745
