Model,Samples,Accuracy,Precision,Recall,F1-score,Real Recall,Fake Recall,Macro F1,False Fake,False Real,Main Finding
BERT,96,0.875,0.8571428571428571,0.8936170212765957,0.875,0.8571428571428571,0.8936170212765957,0.875,7,5,Best and most balanced classifier
CLIP + MLP,96,0.65625,0.8888888888888888,0.3404255319148936,0.4923076923076923,0.9591836734693876,0.3404255319148936,0.6162325863113265,2,31,High real recall but misses many fake posts
ViLT,96,0.7395833333333334,0.84375,0.574468085106383,0.6835443037974683,0.8979591836734694,0.574468085106383,0.7311526828721855,5,20,Best multimodal classifier
BLIP Caption + BERT,96,0.5729166666666666,0.7142857142857143,0.2127659574468085,0.3278688524590163,0.9183673469387756,0.2127659574468085,0.5074458766111876,4,37,Strong real-class bias
