condition,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,real_recall_mean,real_recall_std,fake_recall_mean,fake_recall_std
image_only,0.7955647955647955,0.001200312409957618,0.7929854705492253,0.0020466748555103523,0.7888104833782048,0.001523693273949537,0.8052691867124858,0.0019840215436069545,0.7807017543859649,0.006077371254627658
modality_dropout,0.8530838530838531,0.001200312409957618,0.8530053656477964,0.004066600690520593,0.8481665033417513,0.0018817291707349166,0.8533791523482245,0.011046564445581865,0.8526315789473684,0.018976585660336796
normal_fusion,0.8593208593208593,0.0031757281323325113,0.857246638934105,0.002624613800089246,0.8540605028118401,0.0031126935953484417,0.8671248568155785,0.005249227600178492,0.8473684210526317,0.0
text_only,0.8357588357588358,0.0,0.8325978175679749,0.0019013227160976822,0.8296054056137283,0.0005877062152832141,0.847651775486827,0.007153491407100087,0.8175438596491228,0.01095613683929547
